tweet_id,cleaned_text,user_id
1,A teacher teaches the moon.,user_1
2,The artist paints a new app.,user_2
3,An astronaut paints over the fence.,user_3
4,An astronaut explores a bridge.,user_4
5,The cat teaches over the fence.,user_5
6,A teacher explores a bridge.,user_6
7,An astronaut paints a masterpiece.,user_7
8,The engineer codes a bridge.,user_8
9,An astronaut jumps a new app.,user_9
10,A developer teaches the moon.,user_10
11,The artist paints a bridge.,user_11
12,The engineer explores a masterpiece.,user_12
13,The engineer jumps the moon.,user_13
14,The artist jumps a new app.,user_14
15,An astronaut builds over the fence.,user_15
16,The artist builds a bridge.,user_16
17,The artist paints the moon.,user_17
18,The engineer builds over the fence.,user_18
19,The cat codes a new app.,user_19
20,A developer paints a bridge.,user_20
21,An astronaut explores a masterpiece.,user_21
22,The artist jumps the moon.,user_22
23,An astronaut teaches a bridge.,user_23
24,A teacher builds the moon.,user_24
25,The cat builds a bridge.,user_25
26,The artist codes a new app.,user_26
27,The engineer teaches the moon.,user_27
28,A teacher paints a masterpiece.,user_28
29,The cat explores over the fence.,user_29
30,The artist paints a new app.,user_30
31,The artist paints students.,user_31
32,The artist teaches students.,user_32
33,An astronaut paints a new app.,user_33
34,The artist teaches a masterpiece.,user_34
35,A teacher paints a bridge.,user_35
36,The engineer jumps over the fence.,user_36
37,A developer builds a masterpiece.,user_37
38,A developer codes the moon.,user_38
39,The cat teaches over the fence.,user_39
40,A teacher paints students.,user_40
41,A developer paints students.,user_41
42,A developer jumps the moon.,user_42
43,An astronaut jumps over the fence.,user_43
44,The engineer jumps the moon.,user_44
45,An astronaut codes students.,user_45
46,The engineer paints students.,user_46
47,An astronaut paints students.,user_47
48,A teacher builds over the fence.,user_48
49,The artist teaches over the fence.,user_49
50,An astronaut jumps the moon.,user_50
51,The artist jumps students.,user_51
52,The engineer teaches over the fence.,user_52
53,The cat paints students.,user_53
54,The engineer paints students.,user_54
55,A teacher codes students.,user_55
56,The cat teaches a new app.,user_56
57,The cat codes a new app.,user_57
58,A developer teaches students.,user_58
59,A teacher jumps over the fence.,user_59
60,An astronaut explores a bridge.,user_60
61,An astronaut builds a bridge.,user_61
62,A teacher jumps a new app.,user_62
63,The artist explores the moon.,user_63
64,The cat paints over the fence.,user_64
65,A developer paints a new app.,user_65
66,An astronaut teaches a bridge.,user_66
67,A developer teaches students.,user_67
68,An astronaut teaches over the fence.,user_68
69,The artist teaches over the fence.,user_69
70,The engineer codes over the fence.,user_70
71,The cat codes a bridge.,user_71
72,A teacher explores students.,user_72
73,A teacher builds students.,user_73
74,An astronaut explores a bridge.,user_74
75,A developer builds over the fence.,user_75
76,The cat jumps a masterpiece.,user_76
77,The artist paints a new app.,user_77
78,The cat builds the moon.,user_78
79,The engineer codes a masterpiece.,user_79
80,The engineer explores students.,user_80
81,The cat jumps a new app.,user_81
82,A teacher teaches over the fence.,user_82
83,A developer paints a bridge.,user_83
84,The cat jumps students.,user_84
85,The cat explores students.,user_85
86,A teacher jumps over the fence.,user_86
87,A teacher builds a bridge.,user_87
88,The engineer explores the moon.,user_88
89,A developer paints a bridge.,user_89
90,A teacher explores a masterpiece.,user_90
91,The engineer codes over the fence.,user_91
92,The cat jumps a masterpiece.,user_92
93,A developer paints students.,user_93
94,A teacher builds a new app.,user_94
95,The cat builds the moon.,user_95
96,A developer codes students.,user_96
97,An astronaut teaches the moon.,user_97
98,The cat jumps the moon.,user_98
99,A developer paints over the fence.,user_99
100,An astronaut explores a masterpiece.,user_100
101,The engineer builds a masterpiece.,user_101
102,The cat explores over the fence.,user_102
103,An astronaut builds a bridge.,user_103
104,An astronaut explores over the fence.,user_104
105,The artist codes over the fence.,user_105
106,An astronaut jumps over the fence.,user_106
107,The engineer explores a bridge.,user_107
108,The engineer builds students.,user_108
109,A teacher teaches over the fence.,user_109
110,The engineer teaches a bridge.,user_110
111,A teacher teaches over the fence.,user_111
112,A teacher jumps the moon.,user_112
113,The engineer builds the moon.,user_113
114,A teacher builds a bridge.,user_114
115,A teacher codes a bridge.,user_115
116,The cat explores a new app.,user_116
117,A teacher builds a bridge.,user_117
118,A developer codes a masterpiece.,user_118
119,The cat explores a masterpiece.,user_119
120,A teacher paints a bridge.,user_120
121,The engineer paints a masterpiece.,user_121
122,A developer paints a new app.,user_122
123,The cat jumps a bridge.,user_123
124,The engineer codes a new app.,user_124
125,The artist codes a masterpiece.,user_125
126,The artist teaches a new app.,user_126
127,A developer codes over the fence.,user_127
128,A developer codes a masterpiece.,user_128
129,The artist explores a bridge.,user_129
130,The cat codes a bridge.,user_130
131,The engineer codes a bridge.,user_131
132,The cat teaches over the fence.,user_132
133,The artist builds a masterpiece.,user_133
134,The cat explores over the fence.,user_134
135,A developer jumps the moon.,user_135
136,An astronaut builds students.,user_136
137,A teacher paints a new app.,user_137
138,A teacher builds the moon.,user_138
139,An astronaut builds the moon.,user_139
140,An astronaut paints students.,user_140
141,The cat teaches a masterpiece.,user_141
142,An astronaut paints a bridge.,user_142
143,The cat codes a masterpiece.,user_143
144,The engineer jumps a bridge.,user_144
145,The engineer builds a bridge.,user_145
146,A developer explores a new app.,user_146
147,An astronaut paints over the fence.,user_147
148,A teacher explores a masterpiece.,user_148
149,The engineer jumps a masterpiece.,user_149
150,An astronaut jumps the moon.,user_150
151,The cat explores over the fence.,user_151
152,An astronaut jumps a new app.,user_152
153,A developer codes a new app.,user_153
154,A teacher teaches over the fence.,user_154
155,The engineer paints over the fence.,user_155
156,A teacher builds the moon.,user_156
157,The artist codes over the fence.,user_157
158,A developer teaches a new app.,user_158
159,The engineer teaches a new app.,user_159
160,A developer paints a bridge.,user_160
161,A developer explores over the fence.,user_161
162,The artist teaches a new app.,user_162
163,The engineer paints over the fence.,user_163
164,A teacher codes students.,user_164
165,A teacher jumps a bridge.,user_165
166,The engineer codes students.,user_166
167,The engineer paints the moon.,user_167
168,A developer codes a new app.,user_168
169,The cat paints a masterpiece.,user_169
170,The artist codes over the fence.,user_170
171,The artist explores a masterpiece.,user_171
172,The engineer teaches a new app.,user_172
173,An astronaut jumps the moon.,user_173
174,The engineer jumps a masterpiece.,user_174
175,A teacher explores a new app.,user_175
176,A developer builds the moon.,user_176
177,The cat teaches a bridge.,user_177
178,The cat explores a bridge.,user_178
179,A teacher teaches over the fence.,user_179
180,The cat jumps students.,user_180
181,The artist codes a new app.,user_181
182,A teacher explores students.,user_182
183,A developer codes over the fence.,user_183
